Date, Price
Fri Dec 30 20:25:44 2022,3.358
Fri Dec 30 20:26:46 2022,3.356
Fri Dec 30 20:27:47 2022,3.354
Fri Dec 30 20:28:48 2022,3.357
Fri Dec 30 20:29:48 2022,3.354
Fri Dec 30 20:30:49 2022,3.355
Fri Dec 30 20:31:49 2022,3.353
Fri Dec 30 20:32:49 2022,3.357
Fri Dec 30 20:33:50 2022,3.356
Fri Dec 30 20:34:50 2022,3.359
Fri Dec 30 20:35:51 2022,3.359
Fri Dec 30 20:36:52 2022,3.359
Fri Dec 30 20:37:52 2022,3.357
Fri Dec 30 20:38:53 2022,3.361
Fri Dec 30 20:39:53 2022,3.359
Fri Dec 30 20:40:54 2022,3.359
Fri Dec 30 20:41:54 2022,3.361
Fri Dec 30 20:42:54 2022,3.362
Fri Dec 30 20:43:55 2022,3.362
Fri Dec 30 20:44:55 2022,3.359
Fri Dec 30 20:45:56 2022,3.359
Fri Dec 30 20:46:56 2022,3.359
Fri Dec 30 20:47:57 2022,3.358
Fri Dec 30 20:48:57 2022,3.359
Fri Dec 30 20:49:57 2022,3.363
Fri Dec 30 20:50:58 2022,3.364
Fri Dec 30 20:51:58 2022,3.364
Fri Dec 30 20:52:59 2022,3.359
Fri Dec 30 20:53:59 2022,3.359
Fri Dec 30 20:54:59 2022,3.364
Fri Dec 30 20:56:00 2022,3.364
Fri Dec 30 20:57:00 2022,3.361
Fri Dec 30 20:58:01 2022,3.364
Fri Dec 30 20:59:01 2022,3.36
Fri Dec 30 21:00:02 2022,3.366
Fri Dec 30 21:01:02 2022,3.362
Fri Dec 30 21:02:03 2022,3.364
Fri Dec 30 21:03:03 2022,3.364
Fri Dec 30 21:04:04 2022,3.365
Fri Dec 30 21:05:04 2022,3.363
Fri Dec 30 21:06:05 2022,3.363
Fri Dec 30 21:07:05 2022,3.366
Fri Dec 30 21:08:06 2022,3.362
Fri Dec 30 21:09:06 2022,3.362
Fri Dec 30 21:10:06 2022,3.366
Fri Dec 30 21:11:07 2022,3.369
Fri Dec 30 21:12:08 2022,3.37
Fri Dec 30 21:13:08 2022,3.366
Fri Dec 30 21:14:08 2022,3.369
Fri Dec 30 21:15:09 2022,3.368
Fri Dec 30 21:16:09 2022,3.362
Fri Dec 30 21:17:10 2022,3.364
Fri Dec 30 21:18:11 2022,3.36
Fri Dec 30 21:19:11 2022,3.36
Fri Dec 30 21:20:12 2022,3.361
Fri Dec 30 21:21:12 2022,3.361
Fri Dec 30 21:22:14 2022,3.364
Fri Dec 30 21:23:14 2022,3.36
Fri Dec 30 21:24:15 2022,3.364
Fri Dec 30 21:25:15 2022,3.359
Fri Dec 30 21:26:16 2022,3.359
Fri Dec 30 21:27:16 2022,3.362
Fri Dec 30 21:28:17 2022,3.359
Fri Dec 30 21:29:17 2022,3.359
Fri Dec 30 21:30:18 2022,3.36
Fri Dec 30 21:31:18 2022,3.36
Fri Dec 30 21:32:19 2022,3.36
Fri Dec 30 21:33:19 2022,3.36
Fri Dec 30 21:34:20 2022,3.359
Fri Dec 30 21:35:21 2022,3.36
Fri Dec 30 21:36:22 2022,3.363
Fri Dec 30 21:37:23 2022,3.36
Fri Dec 30 21:38:24 2022,3.36
Fri Dec 30 21:39:25 2022,3.363
Fri Dec 30 21:40:26 2022,3.37
Fri Dec 30 21:41:27 2022,3.369
Fri Dec 30 21:42:28 2022,3.367
Fri Dec 30 21:43:29 2022,3.369
Fri Dec 30 21:44:30 2022,3.367
Fri Dec 30 21:45:32 2022,3.365
Fri Dec 30 21:46:33 2022,3.367
Fri Dec 30 21:47:34 2022,3.362
Fri Dec 30 21:48:35 2022,3.364
Fri Dec 30 21:49:36 2022,3.366
Fri Dec 30 21:50:36 2022,3.369
Fri Dec 30 21:51:37 2022,3.372
Fri Dec 30 21:52:38 2022,3.361
Fri Dec 30 21:53:38 2022,3.361
Fri Dec 30 21:54:39 2022,3.361
Fri Dec 30 21:55:40 2022,3.364
Fri Dec 30 21:56:40 2022,3.361
Fri Dec 30 21:57:41 2022,3.361
Fri Dec 30 21:58:41 2022,3.36
Fri Dec 30 21:59:42 2022,3.362
Fri Dec 30 22:00:43 2022,3.359
Fri Dec 30 22:01:43 2022,3.359
Fri Dec 30 22:02:44 2022,3.359
Fri Dec 30 22:03:44 2022,3.361
Fri Dec 30 22:04:45 2022,3.355
Fri Dec 30 22:05:45 2022,3.354
Fri Dec 30 22:06:46 2022,3.358
Fri Dec 30 22:07:46 2022,3.358
Fri Dec 30 22:08:46 2022,3.353
Fri Dec 30 22:09:47 2022,3.353
Fri Dec 30 22:10:48 2022,3.356
Fri Dec 30 22:11:48 2022,3.353
Fri Dec 30 22:12:48 2022,3.353
Fri Dec 30 22:13:49 2022,3.355
Fri Dec 30 22:14:50 2022,3.35
Fri Dec 30 22:15:50 2022,3.35
Fri Dec 30 22:16:51 2022,3.348
Fri Dec 30 22:17:51 2022,3.351
Fri Dec 30 22:18:52 2022,3.354
Fri Dec 30 22:19:52 2022,3.354
Fri Dec 30 22:20:53 2022,3.353
Fri Dec 30 22:21:53 2022,3.353
Fri Dec 30 22:22:54 2022,3.353
Fri Dec 30 22:23:54 2022,3.353
Fri Dec 30 22:24:54 2022,3.348
Fri Dec 30 22:25:55 2022,3.348
Fri Dec 30 22:26:55 2022,3.351
Fri Dec 30 22:27:56 2022,3.349
Fri Dec 30 22:28:56 2022,3.351
Fri Dec 30 22:29:57 2022,3.351
Fri Dec 30 22:30:58 2022,3.351
Fri Dec 30 22:31:58 2022,3.351
Fri Dec 30 22:32:59 2022,3.35
Fri Dec 30 22:33:59 2022,3.35
Fri Dec 30 22:35:00 2022,3.35
Fri Dec 30 22:36:00 2022,3.347
Fri Dec 30 22:37:01 2022,3.347
Fri Dec 30 22:38:01 2022,3.347
Fri Dec 30 22:39:02 2022,3.354
Fri Dec 30 22:40:02 2022,3.352
Fri Dec 30 22:41:03 2022,3.352
Fri Dec 30 22:42:03 2022,3.356
Fri Dec 30 22:43:04 2022,3.355
Fri Dec 30 22:44:06 2022,3.357
Fri Dec 30 22:45:07 2022,3.354
Fri Dec 30 22:46:07 2022,3.353
Fri Dec 30 22:47:08 2022,3.352
Fri Dec 30 22:48:08 2022,3.351
Fri Dec 30 22:49:08 2022,3.352
Fri Dec 30 22:50:09 2022,3.354
Fri Dec 30 22:51:09 2022,3.354
Fri Dec 30 22:52:12 2022,3.35
Fri Dec 30 22:53:12 2022,3.354
Fri Dec 30 22:54:13 2022,3.351
Fri Dec 30 22:55:13 2022,3.352
Fri Dec 30 22:56:14 2022,3.353
Fri Dec 30 22:57:14 2022,3.352
Fri Dec 30 22:58:14 2022,3.356
Fri Dec 30 22:59:15 2022,3.355
Fri Dec 30 23:00:15 2022,3.352
Fri Dec 30 23:01:16 2022,3.357
Fri Dec 30 23:02:16 2022,3.358
Fri Dec 30 23:03:16 2022,3.355
Fri Dec 30 23:04:17 2022,3.36
Sat Dec 31 11:54:53 2022,3.381
Sat Dec 31 11:55:54 2022,3.381
Sat Dec 31 11:56:54 2022,3.381
Sat Dec 31 11:57:55 2022,3.381
Sat Dec 31 11:58:55 2022,3.381
Sat Dec 31 11:59:56 2022,3.381
Sat Dec 31 12:00:56 2022,3.381
Sat Dec 31 12:01:56 2022,3.382
Sat Dec 31 12:02:57 2022,3.382
Sat Dec 31 12:03:57 2022,3.384
Sat Dec 31 12:04:58 2022,3.384
Sat Dec 31 12:05:58 2022,3.383
Sat Dec 31 12:06:59 2022,3.383
Sat Dec 31 12:07:59 2022,3.382
Sat Dec 31 12:09:00 2022,3.383
Sat Dec 31 12:10:00 2022,3.383
Sat Dec 31 12:11:01 2022,3.383
Sat Dec 31 12:12:01 2022,3.383
Sat Dec 31 12:13:02 2022,3.383
Sat Dec 31 12:14:02 2022,3.383
Sat Dec 31 12:15:02 2022,3.383
Sat Dec 31 12:16:03 2022,3.383
Sat Dec 31 12:17:03 2022,3.384
Sat Dec 31 12:18:04 2022,3.385
Sat Dec 31 12:19:04 2022,3.385
Sat Dec 31 12:20:05 2022,3.385
Sat Dec 31 12:21:05 2022,3.385
Sat Dec 31 12:22:06 2022,3.386
Sat Dec 31 12:23:06 2022,3.385
Sat Dec 31 12:24:07 2022,3.385
Sat Dec 31 12:25:07 2022,3.385
Sat Dec 31 12:26:08 2022,3.385
Sat Dec 31 12:27:08 2022,3.385
Sat Dec 31 12:28:09 2022,3.384
Sat Dec 31 12:29:09 2022,3.384
Sat Dec 31 12:30:10 2022,3.385
Sat Dec 31 12:31:10 2022,3.385
Sat Dec 31 12:32:10 2022,3.385
Sat Dec 31 12:33:11 2022,3.385
Sat Dec 31 12:34:12 2022,3.385
Sat Dec 31 12:35:12 2022,3.385
Sat Dec 31 12:36:13 2022,3.385
Sat Dec 31 12:37:13 2022,3.385
Sat Dec 31 12:38:14 2022,3.385
Sat Dec 31 12:39:14 2022,3.386
Sat Dec 31 12:40:14 2022,3.387
Sat Dec 31 12:41:15 2022,3.387
Sat Dec 31 12:42:15 2022,3.386
Sat Dec 31 12:43:16 2022,3.385
Sat Dec 31 12:44:16 2022,3.385
Sat Dec 31 12:45:17 2022,3.384
Sat Dec 31 12:46:17 2022,3.384
Sat Dec 31 12:47:18 2022,3.384
Sat Dec 31 12:48:18 2022,3.385
Sat Dec 31 12:49:19 2022,3.384
Sat Dec 31 12:50:19 2022,3.384
Sat Dec 31 12:51:19 2022,3.384
Sat Dec 31 12:52:20 2022,3.384
Sat Dec 31 12:53:20 2022,3.384
Sat Dec 31 12:54:21 2022,3.384
Sat Dec 31 12:55:21 2022,3.385
Sat Dec 31 12:56:22 2022,3.386
Sat Dec 31 12:57:22 2022,3.387
Sat Dec 31 12:58:23 2022,3.388
Sat Dec 31 12:59:23 2022,3.388
Sat Dec 31 13:00:24 2022,3.388
Sat Dec 31 13:01:24 2022,3.387
Sat Dec 31 13:02:25 2022,3.388
