Date, Price
Sat Dec 10 18:59:13 2022,273.42
Sat Dec 10 19:00:14 2022,273.42
Sat Dec 10 19:01:16 2022,273.43
Sat Dec 10 19:02:16 2022,273.48
Sat Dec 10 19:03:16 2022,273.53
Sat Dec 10 19:04:17 2022,273.53
Sat Dec 10 19:05:17 2022,273.43
Sat Dec 10 19:06:19 2022,273.36
Sat Dec 10 19:07:20 2022,273.35
Sat Dec 10 19:08:20 2022,273.43
Sat Dec 10 19:09:21 2022,273.5
Sat Dec 10 19:10:22 2022,273.46
Sat Dec 10 19:11:23 2022,273.52
Sat Dec 10 19:12:23 2022,273.52
Sat Dec 10 19:13:24 2022,273.51
Sat Dec 10 19:14:24 2022,273.43
Sat Dec 10 19:15:24 2022,273.49
Sat Dec 10 19:16:25 2022,273.44
Sat Dec 10 19:17:25 2022,273.45
Sat Dec 10 19:18:26 2022,273.46
Sat Dec 10 19:19:26 2022,273.6
Sat Dec 10 19:20:26 2022,273.54
Sat Dec 10 19:21:27 2022,273.48
Sat Dec 10 19:22:27 2022,273.44
Sat Dec 10 19:23:27 2022,273.41
Sat Dec 10 19:24:28 2022,273.24
Sat Dec 10 19:25:29 2022,273.19
Sat Dec 10 19:26:29 2022,273.2
Sat Dec 10 19:27:30 2022,273.21
Sat Dec 10 19:28:31 2022,273.16
Sat Dec 10 19:29:31 2022,273.28
Sat Dec 10 19:30:32 2022,273.31
Sat Dec 10 19:31:32 2022,273.31
Sat Dec 10 19:32:32 2022,273.28
Sat Dec 10 19:33:34 2022,273.42
Sat Dec 10 19:34:34 2022,273.35
Sat Dec 10 19:35:34 2022,273.4
Sat Dec 10 19:36:35 2022,273.28
Sat Dec 10 19:37:35 2022,273.27
Sat Dec 10 19:38:35 2022,273.27
Sat Dec 10 19:39:36 2022,273.29
Sat Dec 10 19:40:36 2022,273.3
Sat Dec 10 19:41:37 2022,273.24
Sat Dec 10 19:42:37 2022,273.34
Sat Dec 10 19:43:37 2022,273.18
Sat Dec 10 19:44:38 2022,273.17
Sat Dec 10 19:45:38 2022,273.23
Sat Dec 10 19:46:38 2022,273.24
Sat Dec 10 19:47:39 2022,273.18
Sat Dec 10 19:48:39 2022,273.17
Sat Dec 10 19:49:40 2022,273.23
Sat Dec 10 19:50:40 2022,273.17
Sat Dec 10 19:51:41 2022,273.18
Sat Dec 10 19:52:41 2022,273.23
Sat Dec 10 19:53:42 2022,273.22
Sat Dec 10 19:54:42 2022,273.16
Sat Dec 10 19:55:42 2022,273.16
Sat Dec 10 19:56:43 2022,273.22
Sat Dec 10 19:57:44 2022,273.24
Sat Dec 10 19:58:45 2022,273.25
Sat Dec 10 19:59:46 2022,273.17
Sat Dec 10 20:00:46 2022,273.28
Sat Dec 10 20:01:46 2022,273.33
Sat Dec 10 20:02:47 2022,273.34
Sat Dec 10 20:03:48 2022,273.39
Sat Dec 10 20:04:48 2022,273.27
Sat Dec 10 20:05:48 2022,273.32
Sat Dec 10 20:06:50 2022,273.37
Sat Dec 10 20:07:50 2022,273.48
Sat Dec 10 20:08:50 2022,273.35
Sat Dec 10 20:09:51 2022,273.39
Sat Dec 10 20:10:51 2022,273.54
Sat Dec 10 20:11:51 2022,273.59
Sat Dec 10 20:12:52 2022,273.64
Sat Dec 10 20:13:52 2022,273.72
Sat Dec 10 20:14:53 2022,273.75
Sat Dec 10 20:15:53 2022,273.61
Sat Dec 10 20:16:53 2022,273.61
Sat Dec 10 20:17:55 2022,273.67
Sat Dec 10 20:18:56 2022,273.69
Sat Dec 10 20:19:56 2022,273.67
Sat Dec 10 20:20:56 2022,273.73
Sat Dec 10 20:21:57 2022,273.73
Sat Dec 10 20:22:57 2022,273.68
Sat Dec 10 20:23:57 2022,273.78
Sat Dec 10 20:24:58 2022,273.77
Sat Dec 10 20:25:58 2022,273.71
Sat Dec 10 20:26:59 2022,273.77
Sat Dec 10 20:27:59 2022,273.78
Sat Dec 10 20:28:59 2022,273.98
Sat Dec 10 20:30:00 2022,273.98
Sat Dec 10 20:31:00 2022,273.72
Sat Dec 10 20:32:01 2022,273.72
Sat Dec 10 20:33:01 2022,273.72
Sat Dec 10 20:34:01 2022,273.82
Sat Dec 10 20:35:02 2022,273.78
Sat Dec 10 20:36:02 2022,273.78
Sat Dec 10 20:37:03 2022,273.78
Sat Dec 10 20:38:03 2022,273.71
Sat Dec 10 20:39:03 2022,273.57
Sat Dec 10 20:40:04 2022,273.43
Sat Dec 10 20:41:04 2022,273.42
Sat Dec 10 20:42:04 2022,273.54
Sat Dec 10 20:43:05 2022,273.61
Sat Dec 10 20:44:05 2022,273.62
Sat Dec 10 20:45:06 2022,273.67
Sat Dec 10 20:46:07 2022,273.69
Sat Dec 10 20:47:08 2022,273.68
Sat Dec 10 20:48:08 2022,273.61
Sat Dec 10 20:49:08 2022,273.68
Sat Dec 10 20:50:09 2022,273.62
Sat Dec 10 20:51:09 2022,273.61
Sat Dec 10 20:52:10 2022,273.61
Sat Dec 10 20:53:10 2022,273.67
Sat Dec 10 20:54:10 2022,273.68
Sat Dec 10 20:55:12 2022,273.63
Sat Dec 10 20:56:12 2022,273.7
Sat Dec 10 20:57:13 2022,273.61
Sat Dec 10 20:58:13 2022,273.7
