Date, Price
Sat Dec 10 18:59:11 2022,16305.47
Sat Dec 10 19:00:11 2022,16305.84
Sat Dec 10 19:01:11 2022,16308.65
Sat Dec 10 19:02:12 2022,16307.91
Sat Dec 10 19:03:12 2022,16308.45
Sat Dec 10 19:04:13 2022,16307.74
Sat Dec 10 19:05:14 2022,16305.61
Sat Dec 10 19:06:14 2022,16306.25
Sat Dec 10 19:07:15 2022,16306.11
Sat Dec 10 19:08:15 2022,16306.08
Sat Dec 10 19:09:16 2022,16306.41
Sat Dec 10 19:10:16 2022,16308.56
Sat Dec 10 19:11:16 2022,16306.93
Sat Dec 10 19:12:17 2022,16306.86
Sat Dec 10 19:13:17 2022,16305.71
Sat Dec 10 19:14:17 2022,16305.98
Sat Dec 10 19:15:18 2022,16305.47
Sat Dec 10 19:16:18 2022,16305.9
Sat Dec 10 19:17:19 2022,16305.23
Sat Dec 10 19:18:19 2022,16305.47
Sat Dec 10 19:19:19 2022,16306.24
Sat Dec 10 19:20:20 2022,16304.75
Sat Dec 10 19:21:20 2022,16304.81
Sat Dec 10 19:22:20 2022,16302.32
Sat Dec 10 19:23:21 2022,16297.99
Sat Dec 10 19:24:22 2022,16296.78
Sat Dec 10 19:25:22 2022,16294.61
Sat Dec 10 19:26:23 2022,16295.11
Sat Dec 10 19:27:23 2022,16292.41
Sat Dec 10 19:28:24 2022,16290.93
Sat Dec 10 19:29:24 2022,16291.03
Sat Dec 10 19:30:24 2022,16292.49
Sat Dec 10 19:31:25 2022,16293.15
Sat Dec 10 19:32:25 2022,16292.48
Sat Dec 10 19:33:25 2022,16293.95
Sat Dec 10 19:34:26 2022,16295.99
Sat Dec 10 19:35:26 2022,16295.53
Sat Dec 10 19:36:27 2022,16292.99
Sat Dec 10 19:37:27 2022,16295.21
Sat Dec 10 19:38:27 2022,16295.58
Sat Dec 10 19:39:28 2022,16295.69
Sat Dec 10 19:40:28 2022,16295.52
Sat Dec 10 19:41:29 2022,16296.03
Sat Dec 10 19:42:29 2022,16299.99
Sat Dec 10 19:43:29 2022,16296.04
Sat Dec 10 19:44:30 2022,16298.06
Sat Dec 10 19:45:30 2022,16296.58
Sat Dec 10 19:46:31 2022,16297.31
Sat Dec 10 19:47:31 2022,16297.97
Sat Dec 10 19:48:31 2022,16299.61
Sat Dec 10 19:49:32 2022,16300.02
Sat Dec 10 19:50:32 2022,16299.28
Sat Dec 10 19:51:33 2022,16299.34
Sat Dec 10 19:52:33 2022,16300.21
Sat Dec 10 19:53:34 2022,16299.57
Sat Dec 10 19:54:34 2022,16298.98
Sat Dec 10 19:55:34 2022,16298.22
Sat Dec 10 19:56:35 2022,16298.6
Sat Dec 10 19:57:36 2022,16300.54
Sat Dec 10 19:58:36 2022,16299.22
Sat Dec 10 19:59:37 2022,16298.78
Sat Dec 10 20:00:37 2022,16299.1
Sat Dec 10 20:01:37 2022,16300.52
Sat Dec 10 20:02:38 2022,16300.24
Sat Dec 10 20:03:38 2022,16298.5
Sat Dec 10 20:04:38 2022,16296.7
Sat Dec 10 20:05:39 2022,16298.7
Sat Dec 10 20:06:39 2022,16298.74
Sat Dec 10 20:07:40 2022,16299.13
Sat Dec 10 20:08:40 2022,16295.24
Sat Dec 10 20:09:41 2022,16296.38
Sat Dec 10 20:10:41 2022,16299.59
