Date, Price
Fri Dec 30 20:25:44 2022,0.9355
Fri Dec 30 20:26:46 2022,0.9355
Fri Dec 30 20:27:48 2022,0.9355
Fri Dec 30 20:28:49 2022,0.9355
Fri Dec 30 20:29:51 2022,0.9355
Fri Dec 30 20:30:52 2022,0.9355
Fri Dec 30 20:31:53 2022,0.9346
Fri Dec 30 20:32:54 2022,0.9346
Fri Dec 30 20:33:54 2022,0.9346
Fri Dec 30 20:34:55 2022,0.9346
Fri Dec 30 20:35:55 2022,0.9346
Fri Dec 30 20:36:55 2022,0.9346
Fri Dec 30 20:37:56 2022,0.9346
Fri Dec 30 20:38:56 2022,0.9346
Fri Dec 30 20:39:57 2022,0.9346
Fri Dec 30 20:40:58 2022,0.9355
Fri Dec 30 20:41:58 2022,0.9355
Fri Dec 30 20:42:59 2022,0.9355
Fri Dec 30 20:43:59 2022,0.9355
Fri Dec 30 20:45:00 2022,0.9355
Fri Dec 30 20:46:01 2022,0.9355
Fri Dec 30 20:47:01 2022,0.9355
Fri Dec 30 20:48:01 2022,0.9346
Fri Dec 30 20:49:02 2022,0.9346
Fri Dec 30 20:50:03 2022,0.9355
Fri Dec 30 20:51:03 2022,0.9346
Fri Dec 30 20:52:03 2022,0.9346
Fri Dec 30 20:53:04 2022,0.9346
Fri Dec 30 20:54:04 2022,0.9346
Fri Dec 30 20:55:05 2022,0.9346
Fri Dec 30 20:56:05 2022,0.9346
Fri Dec 30 20:57:06 2022,0.9346
Fri Dec 30 20:58:06 2022,0.9346
Fri Dec 30 20:59:07 2022,0.9346
Fri Dec 30 21:00:08 2022,0.9346
Fri Dec 30 21:01:09 2022,0.9346
Fri Dec 30 21:02:10 2022,0.9346
Fri Dec 30 21:03:11 2022,0.9346
Fri Dec 30 21:04:12 2022,0.9346
Fri Dec 30 21:05:14 2022,0.9346
Fri Dec 30 21:06:15 2022,0.9346
Fri Dec 30 21:07:16 2022,0.9346
Fri Dec 30 21:08:16 2022,0.9346
Fri Dec 30 21:09:17 2022,0.9346
Fri Dec 30 21:10:18 2022,0.9346
Fri Dec 30 21:11:19 2022,0.9346
Fri Dec 30 21:12:20 2022,0.9346
Fri Dec 30 21:13:20 2022,0.9346
Fri Dec 30 21:14:21 2022,0.9346
Fri Dec 30 21:15:22 2022,0.9346
Fri Dec 30 21:16:23 2022,0.9346
Fri Dec 30 21:17:24 2022,0.9346
Fri Dec 30 21:18:25 2022,0.9346
Fri Dec 30 21:19:26 2022,0.9346
Fri Dec 30 21:20:26 2022,0.9346
Fri Dec 30 21:21:27 2022,0.9346
Fri Dec 30 21:22:27 2022,0.9346
Fri Dec 30 21:23:27 2022,0.9346
Fri Dec 30 21:24:28 2022,0.9346
Fri Dec 30 21:25:28 2022,0.9346
Fri Dec 30 21:26:29 2022,0.9346
Fri Dec 30 21:27:29 2022,0.9346
Fri Dec 30 21:28:29 2022,0.9346
Fri Dec 30 21:29:30 2022,0.9346
Fri Dec 30 21:30:30 2022,0.9346
Fri Dec 30 21:31:31 2022,0.9346
Fri Dec 30 21:32:31 2022,0.9346
Fri Dec 30 21:33:31 2022,0.9346
Fri Dec 30 21:34:32 2022,0.9346
Fri Dec 30 21:35:32 2022,0.9346
Fri Dec 30 21:36:33 2022,0.9346
Fri Dec 30 21:37:33 2022,0.9346
Fri Dec 30 21:38:34 2022,0.9346
Fri Dec 30 21:39:34 2022,0.9346
Fri Dec 30 21:40:35 2022,0.9346
Fri Dec 30 21:41:35 2022,0.9346
Fri Dec 30 21:42:36 2022,0.9346
Fri Dec 30 21:43:36 2022,0.9346
Fri Dec 30 21:44:37 2022,0.9346
Fri Dec 30 21:45:37 2022,0.9346
Fri Dec 30 21:46:38 2022,0.9346
Fri Dec 30 21:47:38 2022,0.9346
Fri Dec 30 21:48:39 2022,0.9346
Fri Dec 30 21:49:39 2022,0.9346
Fri Dec 30 21:50:40 2022,0.9346
Fri Dec 30 21:51:40 2022,0.9346
Fri Dec 30 21:52:41 2022,0.9346
Fri Dec 30 21:53:41 2022,0.9346
Fri Dec 30 21:54:42 2022,0.9346
Fri Dec 30 21:55:42 2022,0.9346
Fri Dec 30 21:56:43 2022,0.9346
Fri Dec 30 21:57:43 2022,0.9346
Fri Dec 30 21:58:44 2022,0.9346
Fri Dec 30 21:59:44 2022,0.9346
Fri Dec 30 22:00:45 2022,0.9346
Fri Dec 30 22:01:45 2022,0.9346
Fri Dec 30 22:02:46 2022,0.9346
Fri Dec 30 22:03:46 2022,0.9346
Fri Dec 30 22:04:47 2022,0.9346
Fri Dec 30 22:05:47 2022,0.9346
Fri Dec 30 22:06:48 2022,0.9346
Fri Dec 30 22:07:48 2022,0.9346
Fri Dec 30 22:08:49 2022,0.9346
Fri Dec 30 22:09:49 2022,0.9346
Fri Dec 30 22:10:50 2022,0.9346
Fri Dec 30 22:11:51 2022,0.9346
Fri Dec 30 22:12:52 2022,0.9346
Fri Dec 30 22:13:52 2022,0.9346
Fri Dec 30 22:14:53 2022,0.9346
Fri Dec 30 22:15:53 2022,0.9346
Fri Dec 30 22:16:54 2022,0.9346
Fri Dec 30 22:17:54 2022,0.9346
Fri Dec 30 22:18:54 2022,0.9346
Fri Dec 30 22:19:55 2022,0.9346
Fri Dec 30 22:20:55 2022,0.9346
Fri Dec 30 22:21:56 2022,0.9346
Fri Dec 30 22:22:56 2022,0.9346
Fri Dec 30 22:23:57 2022,0.9346
Fri Dec 30 22:24:57 2022,0.9346
Fri Dec 30 22:25:57 2022,0.9346
Fri Dec 30 22:26:58 2022,0.9346
Fri Dec 30 22:27:58 2022,0.9346
Fri Dec 30 22:28:59 2022,0.9346
Fri Dec 30 22:29:59 2022,0.9346
Fri Dec 30 22:30:59 2022,0.9346
Fri Dec 30 22:32:00 2022,0.9346
Fri Dec 30 22:33:00 2022,0.9346
Fri Dec 30 22:34:01 2022,0.9346
Fri Dec 30 22:35:01 2022,0.9346
Fri Dec 30 22:36:02 2022,0.9346
Fri Dec 30 22:37:02 2022,0.9346
Fri Dec 30 22:38:02 2022,0.9346
Fri Dec 30 22:39:03 2022,0.9346
Fri Dec 30 22:40:03 2022,0.9346
Fri Dec 30 22:41:04 2022,0.9346
Fri Dec 30 22:42:04 2022,0.9346
Fri Dec 30 22:43:05 2022,0.9346
Fri Dec 30 22:44:06 2022,0.9346
Fri Dec 30 22:45:07 2022,0.9346
Fri Dec 30 22:46:08 2022,0.9346
Fri Dec 30 22:47:09 2022,0.9346
Fri Dec 30 22:48:10 2022,0.9346
Fri Dec 30 22:49:10 2022,0.9346
Fri Dec 30 22:50:11 2022,0.9346
Fri Dec 30 22:51:12 2022,0.9346
Fri Dec 30 22:52:12 2022,0.9346
Fri Dec 30 22:53:13 2022,0.9346
Fri Dec 30 22:54:13 2022,0.9346
Fri Dec 30 22:55:14 2022,0.9346
Fri Dec 30 22:56:14 2022,0.9346
Fri Dec 30 22:57:14 2022,0.9346
Fri Dec 30 22:58:15 2022,0.9346
Fri Dec 30 22:59:15 2022,0.9346
Fri Dec 30 23:00:16 2022,0.9346
Fri Dec 30 23:01:16 2022,0.9346
Fri Dec 30 23:02:16 2022,0.9346
Fri Dec 30 23:03:17 2022,0.9346
Fri Dec 30 23:04:17 2022,0.9346
Sat Dec 31 11:54:54 2022,0.9346
Sat Dec 31 11:55:54 2022,0.9346
Sat Dec 31 11:56:54 2022,0.9346
Sat Dec 31 11:57:55 2022,0.9346
Sat Dec 31 11:58:56 2022,0.9346
Sat Dec 31 11:59:56 2022,0.9346
Sat Dec 31 12:00:57 2022,0.9346
Sat Dec 31 12:01:58 2022,0.9346
Sat Dec 31 12:02:59 2022,0.9346
Sat Dec 31 12:04:00 2022,0.9346
Sat Dec 31 12:05:00 2022,0.9346
Sat Dec 31 12:06:01 2022,0.9346
Sat Dec 31 12:07:01 2022,0.9346
Sat Dec 31 12:08:03 2022,0.9346
Sat Dec 31 12:09:03 2022,0.9346
Sat Dec 31 12:10:04 2022,0.9346
Sat Dec 31 12:11:04 2022,0.9346
Sat Dec 31 12:12:04 2022,0.9346
Sat Dec 31 12:13:05 2022,0.9346
Sat Dec 31 12:14:05 2022,0.9346
Sat Dec 31 12:15:06 2022,0.9346
Sat Dec 31 12:16:06 2022,0.9337
Sat Dec 31 12:17:07 2022,0.9337
Sat Dec 31 12:18:07 2022,0.9337
Sat Dec 31 12:19:08 2022,0.9346
Sat Dec 31 12:20:08 2022,0.9337
Sat Dec 31 12:21:08 2022,0.9337
Sat Dec 31 12:22:09 2022,0.9337
Sat Dec 31 12:23:09 2022,0.9337
Sat Dec 31 12:24:10 2022,0.9337
Sat Dec 31 12:25:11 2022,0.9346
Sat Dec 31 12:26:11 2022,0.9337
Sat Dec 31 12:27:12 2022,0.9337
Sat Dec 31 12:28:12 2022,0.9337
Sat Dec 31 12:29:12 2022,0.9337
Sat Dec 31 12:30:13 2022,0.9337
Sat Dec 31 12:31:13 2022,0.9337
Sat Dec 31 12:32:13 2022,0.9337
Sat Dec 31 12:33:14 2022,0.9337
Sat Dec 31 12:34:14 2022,0.9337
Sat Dec 31 12:35:15 2022,0.9337
Sat Dec 31 12:36:15 2022,0.9337
Sat Dec 31 12:37:16 2022,0.9337
Sat Dec 31 12:38:16 2022,0.9337
Sat Dec 31 12:39:18 2022,0.9337
Sat Dec 31 12:40:18 2022,0.9346
Sat Dec 31 12:41:19 2022,0.9346
Sat Dec 31 12:42:19 2022,0.9346
Sat Dec 31 12:43:20 2022,0.9337
Sat Dec 31 12:44:20 2022,0.9337
Sat Dec 31 12:45:21 2022,0.9337
Sat Dec 31 12:46:21 2022,0.9337
Sat Dec 31 12:47:22 2022,0.9337
Sat Dec 31 12:48:22 2022,0.9337
Sat Dec 31 12:49:24 2022,0.9337
Sat Dec 31 12:50:25 2022,0.9337
Sat Dec 31 12:51:25 2022,0.9337
Sat Dec 31 12:52:26 2022,0.9337
Sat Dec 31 12:53:26 2022,0.9337
Sat Dec 31 12:54:26 2022,0.9337
Sat Dec 31 12:55:27 2022,0.9337
Sat Dec 31 12:56:28 2022,0.9337
Sat Dec 31 12:57:28 2022,0.9337
Sat Dec 31 12:58:29 2022,0.9337
Sat Dec 31 12:59:29 2022,0.9337
Sat Dec 31 13:00:29 2022,0.9337
Sat Dec 31 13:01:30 2022,0.9337
