Date, Price
Sat Dec 10 18:59:11 2022,1206.71
Sat Dec 10 19:00:11 2022,1206.65
Sat Dec 10 19:01:13 2022,1206.89
Sat Dec 10 19:02:13 2022,1206.93
Sat Dec 10 19:03:14 2022,1207.3
Sat Dec 10 19:04:14 2022,1207.19
Sat Dec 10 19:05:15 2022,1207.03
Sat Dec 10 19:06:15 2022,1207.02
Sat Dec 10 19:07:15 2022,1207.01
Sat Dec 10 19:08:16 2022,1207.14
Sat Dec 10 19:09:16 2022,1207.44
Sat Dec 10 19:10:17 2022,1207.51
Sat Dec 10 19:11:17 2022,1207.54
Sat Dec 10 19:12:17 2022,1207.93
Sat Dec 10 19:13:18 2022,1207.84
Sat Dec 10 19:14:18 2022,1207.84
Sat Dec 10 19:15:19 2022,1207.74
Sat Dec 10 19:16:19 2022,1207.85
Sat Dec 10 19:17:19 2022,1207.9
Sat Dec 10 19:18:21 2022,1208.12
Sat Dec 10 19:19:21 2022,1208.12
Sat Dec 10 19:20:21 2022,1208.16
Sat Dec 10 19:21:22 2022,1207.9
Sat Dec 10 19:22:22 2022,1207.71
Sat Dec 10 19:23:22 2022,1207.39
Sat Dec 10 19:24:23 2022,1206.84
Sat Dec 10 19:25:23 2022,1206.56
Sat Dec 10 19:26:24 2022,1206.3
Sat Dec 10 19:27:24 2022,1205.92
Sat Dec 10 19:28:24 2022,1205.39
Sat Dec 10 19:29:25 2022,1205.26
Sat Dec 10 19:30:25 2022,1205.58
Sat Dec 10 19:31:26 2022,1205.64
Sat Dec 10 19:32:26 2022,1205.96
Sat Dec 10 19:33:26 2022,1205.99
Sat Dec 10 19:34:27 2022,1206.41
Sat Dec 10 19:35:27 2022,1206.3
Sat Dec 10 19:36:27 2022,1205.53
Sat Dec 10 19:37:28 2022,1205.69
Sat Dec 10 19:38:28 2022,1205.96
Sat Dec 10 19:39:29 2022,1206.02
Sat Dec 10 19:40:29 2022,1205.91
Sat Dec 10 19:41:30 2022,1205.87
Sat Dec 10 19:42:31 2022,1205.89
Sat Dec 10 19:43:31 2022,1206.12
Sat Dec 10 19:44:32 2022,1206.05
Sat Dec 10 19:45:32 2022,1205.82
Sat Dec 10 19:46:33 2022,1205.94
Sat Dec 10 19:47:34 2022,1206.01
Sat Dec 10 19:48:34 2022,1205.92
Sat Dec 10 19:49:34 2022,1206.64
Sat Dec 10 19:50:35 2022,1206.7
Sat Dec 10 19:51:35 2022,1206.77
Sat Dec 10 19:52:36 2022,1206.81
Sat Dec 10 19:53:36 2022,1206.51
Sat Dec 10 19:54:36 2022,1206.69
Sat Dec 10 19:55:37 2022,1206.64
Sat Dec 10 19:56:37 2022,1206.7
Sat Dec 10 19:57:37 2022,1206.7
Sat Dec 10 19:58:38 2022,1206.7
Sat Dec 10 19:59:38 2022,1206.77
Sat Dec 10 20:00:39 2022,1206.79
Sat Dec 10 20:01:39 2022,1206.73
Sat Dec 10 20:02:39 2022,1206.74
Sat Dec 10 20:03:40 2022,1206.5
Sat Dec 10 20:04:40 2022,1206.36
Sat Dec 10 20:05:41 2022,1206.55
Sat Dec 10 20:06:41 2022,1206.27
Sat Dec 10 20:07:41 2022,1206.12
Sat Dec 10 20:08:42 2022,1205.83
Sat Dec 10 20:09:42 2022,1205.8
Sat Dec 10 20:10:42 2022,1206.07
Sat Dec 10 20:11:43 2022,1206.14
Sat Dec 10 20:12:43 2022,1206.63
Sat Dec 10 20:13:44 2022,1207
Sat Dec 10 20:14:44 2022,1206.97
Sat Dec 10 20:15:44 2022,1207.1
Sat Dec 10 20:16:45 2022,1206.88
Sat Dec 10 20:17:45 2022,1206.96
Sat Dec 10 20:18:45 2022,1207.09
Sat Dec 10 20:19:46 2022,1207.6
Sat Dec 10 20:20:46 2022,1207.62
Sat Dec 10 20:21:47 2022,1207.82
Sat Dec 10 20:22:47 2022,1207.84
Sat Dec 10 20:23:47 2022,1207.64
Sat Dec 10 20:24:48 2022,1207.47
Sat Dec 10 20:25:48 2022,1207.47
Sat Dec 10 20:26:50 2022,1207.29
Sat Dec 10 20:27:51 2022,1207.32
Sat Dec 10 20:28:51 2022,1207.28
Sat Dec 10 20:29:51 2022,1207.02
Sat Dec 10 20:30:52 2022,1207.18
Sat Dec 10 20:31:52 2022,1207.17
Sat Dec 10 20:32:52 2022,1207.17
Sat Dec 10 20:33:53 2022,1207.25
Sat Dec 10 20:34:53 2022,1207.26
Sat Dec 10 20:35:54 2022,1207.28
Sat Dec 10 20:36:54 2022,1207.21
Sat Dec 10 20:37:55 2022,1207.02
Sat Dec 10 20:38:55 2022,1206.83
Sat Dec 10 20:39:55 2022,1206.7
Sat Dec 10 20:40:56 2022,1206.75
Sat Dec 10 20:41:56 2022,1206.48
Sat Dec 10 20:42:57 2022,1206.56
Sat Dec 10 20:43:57 2022,1206.81
Sat Dec 10 20:44:58 2022,1206.88
Sat Dec 10 20:45:59 2022,1206.86
Sat Dec 10 20:46:59 2022,1206.71
Sat Dec 10 20:48:00 2022,1206.71
Sat Dec 10 20:49:00 2022,1206.93
Sat Dec 10 20:50:01 2022,1206.93
Sat Dec 10 20:51:02 2022,1206.87
Sat Dec 10 20:52:02 2022,1206.9
Sat Dec 10 20:53:03 2022,1207.07
Sat Dec 10 20:54:03 2022,1206.69
Sat Dec 10 20:55:03 2022,1206.56
Sat Dec 10 20:56:04 2022,1206.5
Sat Dec 10 20:57:04 2022,1207.01
Sat Dec 10 20:58:04 2022,1207.26
Sat Dec 10 20:59:05 2022,1207.26
Sat Dec 10 21:00:05 2022,1207.49
Sat Dec 10 21:01:06 2022,1207.36
Sat Dec 10 21:02:06 2022,1207.39
Sat Dec 10 21:03:06 2022,1207.46
Sat Dec 10 21:04:07 2022,1207.66
Sat Dec 10 21:05:08 2022,1207.55
Sat Dec 10 21:06:10 2022,1207.38
Sat Dec 10 21:07:10 2022,1207.32
Sat Dec 10 21:08:11 2022,1207.18
Sat Dec 10 21:09:11 2022,1206.78
Sat Dec 10 21:10:11 2022,1206.53
Sat Dec 10 21:11:12 2022,1206.7
Sat Dec 10 21:12:12 2022,1207.04
Sat Dec 10 21:13:12 2022,1207.22
Sat Dec 10 21:14:13 2022,1207.24
Sat Dec 10 21:15:13 2022,1207.29
Sat Dec 10 21:16:14 2022,1207.57
Sat Dec 10 21:17:14 2022,1207.7
Sat Dec 10 21:18:14 2022,1207.58
Sat Dec 10 21:19:15 2022,1207.43
Sat Dec 10 21:20:15 2022,1207.17
Sat Dec 10 21:21:15 2022,1206.99
Sat Dec 10 21:22:16 2022,1206.37
Sat Dec 10 21:23:16 2022,1206.07
Sat Dec 10 21:24:17 2022,1206.16
Sat Dec 10 21:25:17 2022,1206.09
Sat Dec 10 21:26:17 2022,1205.89
Sat Dec 10 21:27:18 2022,1205.8
Sat Dec 10 21:28:18 2022,1206
Sat Dec 10 21:29:19 2022,1205.89
Sat Dec 10 21:30:19 2022,1206.1
Sat Dec 10 21:31:19 2022,1206.06
Sat Dec 10 21:32:20 2022,1205.68
Sat Dec 10 21:33:20 2022,1205.62
Sat Dec 10 21:34:20 2022,1205.57
Sat Dec 10 21:35:21 2022,1205.33
Sat Dec 10 21:36:21 2022,1205.36
Sat Dec 10 21:37:21 2022,1204.95
Sat Dec 10 21:38:22 2022,1204.79
Sat Dec 10 21:39:22 2022,1204.74
Sat Dec 10 21:40:23 2022,1204.95
Sat Dec 10 21:41:23 2022,1204.86
Sat Dec 10 21:42:23 2022,1204.78
Sat Dec 10 21:43:24 2022,1205.05
Sat Dec 10 21:44:24 2022,1205.19
Sat Dec 10 21:45:24 2022,1205.31
Sat Dec 10 21:46:25 2022,1205.26
Sat Dec 10 21:47:25 2022,1205.22
Sat Dec 10 21:48:26 2022,1205.13
Sat Dec 10 21:49:26 2022,1205.07
Sat Dec 10 21:50:27 2022,1205.02
Sat Dec 10 21:51:27 2022,1204.36
Sat Dec 10 21:52:27 2022,1204.39
Sat Dec 10 21:53:28 2022,1204.37
Sat Dec 10 21:54:28 2022,1204.55
Sat Dec 10 21:55:29 2022,1204.6
Sat Dec 10 21:56:29 2022,1204.58
Sat Dec 10 21:57:29 2022,1204.33
Sat Dec 10 21:58:30 2022,1204.22
Sat Dec 10 21:59:30 2022,1203.59
Sat Dec 10 22:00:31 2022,1202.99
Sat Dec 10 22:01:31 2022,1202.49
Sat Dec 10 22:02:32 2022,1202.76
Sat Dec 10 22:03:32 2022,1203.28
Sat Dec 10 22:04:33 2022,1203.44
Sat Dec 10 22:05:34 2022,1203.45
Sat Dec 10 22:06:34 2022,1203.37
Sat Dec 10 22:07:35 2022,1203.56
Sat Dec 10 22:08:35 2022,1203.55
Sat Dec 10 22:09:35 2022,1203.6
Sat Dec 10 22:10:36 2022,1203.76
Sat Dec 10 22:11:36 2022,1203.76
Sat Dec 10 22:12:37 2022,1203.75
Sat Dec 10 22:13:37 2022,1204.06
Sat Dec 10 22:14:37 2022,1204.64
Sat Dec 10 22:15:38 2022,1204.66
Sat Dec 10 22:16:38 2022,1204.51
Sat Dec 10 22:17:39 2022,1204.4
Sat Dec 10 22:18:39 2022,1204.65
Sat Dec 10 22:19:39 2022,1204.47
Sat Dec 10 22:20:40 2022,1204.5
Sat Dec 10 22:21:40 2022,1204.3
Sat Dec 10 22:22:40 2022,1203.88
Sat Dec 10 22:23:41 2022,1203.85
Sat Dec 10 22:24:41 2022,1203.9
Sat Dec 10 22:25:41 2022,1204.01
Sat Dec 10 22:26:42 2022,1204
Sat Dec 10 22:27:42 2022,1203.93
Sat Dec 10 22:28:42 2022,1203.86
Sat Dec 10 22:29:45 2022,1203.88
Sat Dec 10 22:30:45 2022,1203.75
Sat Dec 10 22:31:45 2022,1203.65
Sat Dec 10 22:32:46 2022,1203.57
Sat Dec 10 22:33:46 2022,1203.5
Sat Dec 10 22:34:46 2022,1203.38
Sat Dec 10 22:35:47 2022,1203.32
Sat Dec 10 22:36:47 2022,1203.48
Sat Dec 10 22:37:48 2022,1203.49
Sat Dec 10 22:38:48 2022,1203.38
Sat Dec 10 22:39:48 2022,1203.34
Sat Dec 10 22:40:49 2022,1203.38
Sat Dec 10 22:41:49 2022,1203.23
Sat Dec 10 22:42:49 2022,1203.22
Sat Dec 10 22:43:50 2022,1203.47
Sat Dec 10 22:44:50 2022,1203.22
Sat Dec 10 22:45:51 2022,1202.51
Sat Dec 10 22:46:51 2022,1202.52
Sat Dec 10 22:47:51 2022,1202.84
Sat Dec 10 22:48:52 2022,1203.48
Sat Dec 10 22:49:52 2022,1203.51
Sat Dec 10 22:50:52 2022,1203.94
Sat Dec 10 22:51:54 2022,1203.84
Sat Dec 10 22:52:54 2022,1203.8
Sat Dec 10 22:53:54 2022,1203.79
Sat Dec 10 22:54:55 2022,1203.85
Sat Dec 10 22:55:55 2022,1203.9
Sat Dec 10 22:56:56 2022,1203.73
Sat Dec 10 22:57:56 2022,1203.73
Sat Dec 10 22:58:56 2022,1203.72
Sat Dec 10 22:59:57 2022,1203.87
Sat Dec 10 23:00:57 2022,1204.04
Sat Dec 10 23:01:57 2022,1204.06
Sat Dec 10 23:02:58 2022,1204.31
Sat Dec 10 23:03:58 2022,1204.2
Sat Dec 10 23:04:59 2022,1204.6
Sat Dec 10 23:05:59 2022,1204.74
Sat Dec 10 23:06:59 2022,1204.88
Sat Dec 10 23:08:00 2022,1204.92
Sat Dec 10 23:09:00 2022,1204.8
Sat Dec 10 23:10:01 2022,1204.58
Sat Dec 10 23:11:01 2022,1204.44
Sat Dec 10 23:12:02 2022,1204.31
Sat Dec 10 23:13:02 2022,1204.2
Sat Dec 10 23:14:03 2022,1204.11
Sat Dec 10 23:15:03 2022,1204.13
Sat Dec 10 23:16:03 2022,1204.08
Sat Dec 10 23:17:04 2022,1203.73
Sat Dec 10 23:18:04 2022,1203.67
Sat Dec 10 23:19:05 2022,1203.85
Sat Dec 10 23:20:05 2022,1203.96
Sat Dec 10 23:21:05 2022,1203.94
Sat Dec 10 23:22:06 2022,1203.81
Sat Dec 10 23:23:06 2022,1203.78
Sat Dec 10 23:24:07 2022,1203.71
Sat Dec 10 23:25:07 2022,1204.32
Sat Dec 10 23:26:07 2022,1204.51
Sat Dec 10 23:27:08 2022,1204.79
Sat Dec 10 23:28:08 2022,1204.81
Sat Dec 10 23:29:08 2022,1204.71
Sat Dec 10 23:30:09 2022,1204.77
Sat Dec 10 23:31:09 2022,1204.71
Sat Dec 10 23:32:10 2022,1205.2
Sat Dec 10 23:33:10 2022,1204.97
Sat Dec 10 23:34:10 2022,1204.17
Sat Dec 10 23:35:11 2022,1203.08
Sat Dec 10 23:36:11 2022,1202.38
Sat Dec 10 23:37:11 2022,1201.97
Sat Dec 10 23:38:12 2022,1202.51
Sat Dec 10 23:39:12 2022,1202.67
Sat Dec 10 23:40:13 2022,1202.84
Sat Dec 10 23:41:13 2022,1202.84
Sat Dec 10 23:42:13 2022,1202.27
Sat Dec 10 23:43:14 2022,1202.37
Sat Dec 10 23:44:14 2022,1201.86
Sat Dec 10 23:45:14 2022,1199.74
Sat Dec 10 23:46:15 2022,1199.43
Sat Dec 10 23:47:15 2022,1198.64
Sat Dec 10 23:48:16 2022,1198.03
Sat Dec 10 23:49:16 2022,1197.81
Sat Dec 10 23:50:17 2022,1198.24
Sat Dec 10 23:51:17 2022,1198.48
Sat Dec 10 23:52:17 2022,1198.11
Sat Dec 10 23:53:18 2022,1198.43
Sat Dec 10 23:54:18 2022,1199.56
Sat Dec 10 23:55:18 2022,1199.66
Sat Dec 10 23:56:19 2022,1199.83
Sat Dec 10 23:57:19 2022,1200.04
Sat Dec 10 23:58:20 2022,1200.16
Sat Dec 10 23:59:20 2022,1200.42
Sun Dec 11 00:00:21 2022,1201.26
Sun Dec 11 00:01:21 2022,1201.45
Sun Dec 11 00:02:22 2022,1201.28
Sun Dec 11 00:03:23 2022,1201.1
Sun Dec 11 00:04:23 2022,1200.77
Sun Dec 11 00:05:24 2022,1200.88
Sun Dec 11 00:06:24 2022,1201.04
Sun Dec 11 00:07:24 2022,1201.12
Sun Dec 11 00:08:26 2022,1200.95
Sun Dec 11 00:09:26 2022,1200.57
Sun Dec 11 00:10:26 2022,1200.62
Sun Dec 11 00:11:27 2022,1200.66
Sun Dec 11 00:12:27 2022,1200.43
Sun Dec 11 00:13:28 2022,1200.48
Sun Dec 11 00:14:28 2022,1200.89
Sun Dec 11 00:15:28 2022,1200.9
Sun Dec 11 00:16:29 2022,1201.35
Sun Dec 11 00:17:29 2022,1201.4
Sun Dec 11 00:18:30 2022,1201.47
Sun Dec 11 00:19:30 2022,1201.58
Sun Dec 11 00:20:31 2022,1201.29
Sun Dec 11 00:21:31 2022,1201.31
Sun Dec 11 00:22:32 2022,1201.35
Sun Dec 11 00:23:32 2022,1201.39
Sun Dec 11 00:24:32 2022,1201.46
Sun Dec 11 00:25:33 2022,1202.48
Sun Dec 11 00:26:33 2022,1202.46
Sun Dec 11 00:27:34 2022,1202.62
Sun Dec 11 00:28:34 2022,1202.54
Sun Dec 11 00:29:34 2022,1202.97
Sun Dec 11 00:30:35 2022,1203.44
Sun Dec 11 00:31:35 2022,1203.39
Sun Dec 11 00:32:36 2022,1203.41
Sun Dec 11 00:33:36 2022,1203.21
Sun Dec 11 00:34:36 2022,1203.24
Sun Dec 11 00:35:37 2022,1203.29
Sun Dec 11 00:36:37 2022,1203.36
Sun Dec 11 00:37:37 2022,1203.32
Sun Dec 11 00:38:38 2022,1203.3
Sun Dec 11 00:39:38 2022,1202.8
Sun Dec 11 00:40:39 2022,1202.9
Sun Dec 11 00:41:39 2022,1202.64
Sun Dec 11 00:42:39 2022,1202.44
Sun Dec 11 00:43:40 2022,1202.43
Sun Dec 11 00:44:40 2022,1202.04
Sun Dec 11 00:45:41 2022,1202.08
Sun Dec 11 00:46:41 2022,1202.18
Sun Dec 11 00:47:41 2022,1202.28
Sun Dec 11 00:48:42 2022,1202.34
Sun Dec 11 00:49:42 2022,1202.3
Sun Dec 11 00:50:42 2022,1202.17
Sun Dec 11 00:51:43 2022,1202.14
Sun Dec 11 00:52:43 2022,1202.39
Sun Dec 11 00:53:44 2022,1202.83
Sun Dec 11 00:54:44 2022,1202.84
Sun Dec 11 00:55:44 2022,1202.97
Sun Dec 11 00:56:45 2022,1202.96
Sun Dec 11 00:57:45 2022,1202.88
Sun Dec 11 00:58:46 2022,1202.91
Sun Dec 11 00:59:46 2022,1202.91
Sun Dec 11 01:00:46 2022,1203.19
Sun Dec 11 01:01:47 2022,1203.02
Sun Dec 11 01:02:48 2022,1203.03
Sun Dec 11 01:03:48 2022,1203.13
Sun Dec 11 01:04:48 2022,1203.13
Sun Dec 11 01:05:49 2022,1203.09
Sun Dec 11 01:06:49 2022,1203.03
Sun Dec 11 01:07:50 2022,1203.1
Sun Dec 11 01:08:51 2022,1204.03
Sun Dec 11 01:09:51 2022,1204.24
Sun Dec 11 01:10:52 2022,1204.66
Sun Dec 11 01:11:52 2022,1204.17
Sun Dec 11 01:12:53 2022,1204.51
Sun Dec 11 01:13:53 2022,1204.66
Sun Dec 11 01:14:53 2022,1204.68
Sun Dec 11 01:15:54 2022,1204.75
Sun Dec 11 01:16:54 2022,1204.64
Sun Dec 11 01:17:55 2022,1204.57
Sun Dec 11 01:18:55 2022,1204.45
Sun Dec 11 01:19:55 2022,1204.15
Sun Dec 11 01:20:56 2022,1203.81
Sun Dec 11 01:21:56 2022,1203.73
