Date, Price
Fri Dec 30 20:25:44 2022,9.309
Fri Dec 30 20:26:46 2022,9.272
Fri Dec 30 20:27:47 2022,9.278
Fri Dec 30 20:28:48 2022,9.284
Fri Dec 30 20:29:48 2022,9.299
Fri Dec 30 20:30:49 2022,9.263
Fri Dec 30 20:31:49 2022,9.249
Fri Dec 30 20:32:50 2022,9.264
Fri Dec 30 20:33:50 2022,9.232
Fri Dec 30 20:34:50 2022,9.215
Fri Dec 30 20:35:51 2022,9.221
Fri Dec 30 20:36:51 2022,9.252
Fri Dec 30 20:37:52 2022,9.244
Fri Dec 30 20:38:52 2022,9.254
Fri Dec 30 20:39:53 2022,9.251
Fri Dec 30 20:40:53 2022,9.246
Fri Dec 30 20:41:54 2022,9.224
Fri Dec 30 20:42:54 2022,9.24
Fri Dec 30 20:43:54 2022,9.235
Fri Dec 30 20:44:55 2022,9.241
Fri Dec 30 20:45:55 2022,9.243
Fri Dec 30 20:46:56 2022,9.24
Fri Dec 30 20:47:56 2022,9.236
Fri Dec 30 20:48:57 2022,9.233
Fri Dec 30 20:49:57 2022,9.195
Fri Dec 30 20:50:58 2022,9.207
Fri Dec 30 20:51:58 2022,9.214
Fri Dec 30 20:52:58 2022,9.221
Fri Dec 30 20:53:59 2022,9.211
Fri Dec 30 20:54:59 2022,9.202
Fri Dec 30 20:56:01 2022,9.217
Fri Dec 30 20:57:01 2022,9.214
Fri Dec 30 20:58:02 2022,9.219
Fri Dec 30 20:59:02 2022,9.209
Fri Dec 30 21:00:03 2022,9.2
Fri Dec 30 21:01:03 2022,9.251
Fri Dec 30 21:02:04 2022,9.313
Fri Dec 30 21:03:04 2022,9.303
Fri Dec 30 21:04:05 2022,9.279
Fri Dec 30 21:05:05 2022,9.284
Fri Dec 30 21:06:06 2022,9.278
Fri Dec 30 21:07:06 2022,9.255
Fri Dec 30 21:08:07 2022,9.252
Fri Dec 30 21:09:07 2022,9.273
Fri Dec 30 21:10:07 2022,9.287
Fri Dec 30 21:11:08 2022,9.299
Fri Dec 30 21:12:08 2022,9.309
Fri Dec 30 21:13:09 2022,9.303
Fri Dec 30 21:14:09 2022,9.311
Fri Dec 30 21:15:10 2022,9.301
Fri Dec 30 21:16:10 2022,9.293
Fri Dec 30 21:17:11 2022,9.273
Fri Dec 30 21:18:11 2022,9.25
Fri Dec 30 21:19:12 2022,9.242
Fri Dec 30 21:20:12 2022,9.246
Fri Dec 30 21:21:13 2022,9.234
Fri Dec 30 21:22:13 2022,9.231
Fri Dec 30 21:23:13 2022,9.23
Fri Dec 30 21:24:15 2022,9.242
Fri Dec 30 21:25:15 2022,9.245
Fri Dec 30 21:26:16 2022,9.245
Fri Dec 30 21:27:16 2022,9.248
Fri Dec 30 21:28:17 2022,9.248
Fri Dec 30 21:29:17 2022,9.252
Fri Dec 30 21:30:18 2022,9.232
Fri Dec 30 21:31:18 2022,9.226
Fri Dec 30 21:32:19 2022,9.224
Fri Dec 30 21:33:19 2022,9.223
Fri Dec 30 21:34:20 2022,9.214
Fri Dec 30 21:35:21 2022,9.214
Fri Dec 30 21:36:22 2022,9.23
Fri Dec 30 21:37:23 2022,9.235
Fri Dec 30 21:38:24 2022,9.232
Fri Dec 30 21:39:25 2022,9.238
Fri Dec 30 21:40:26 2022,9.23
Fri Dec 30 21:41:27 2022,9.212
Fri Dec 30 21:42:28 2022,9.212
Fri Dec 30 21:43:29 2022,9.219
Fri Dec 30 21:44:30 2022,9.22
Fri Dec 30 21:45:32 2022,9.22
Fri Dec 30 21:46:33 2022,9.239
Fri Dec 30 21:47:34 2022,9.242
Fri Dec 30 21:48:35 2022,9.242
Fri Dec 30 21:49:35 2022,9.249
Fri Dec 30 21:50:36 2022,9.23
Fri Dec 30 21:51:37 2022,9.23
Fri Dec 30 21:52:37 2022,9.223
Fri Dec 30 21:53:38 2022,9.208
Fri Dec 30 21:54:38 2022,9.21
Fri Dec 30 21:55:39 2022,9.203
Fri Dec 30 21:56:39 2022,9.21
Fri Dec 30 21:57:40 2022,9.217
Fri Dec 30 21:58:40 2022,9.213
Fri Dec 30 21:59:40 2022,9.163
Fri Dec 30 22:00:41 2022,9.188
Fri Dec 30 22:01:41 2022,9.195
Fri Dec 30 22:02:42 2022,9.176
Fri Dec 30 22:03:42 2022,9.215
Fri Dec 30 22:04:43 2022,9.155
Fri Dec 30 22:05:43 2022,9.129
Fri Dec 30 22:06:44 2022,9.15
Fri Dec 30 22:07:45 2022,9.156
Fri Dec 30 22:08:45 2022,9.143
Fri Dec 30 22:09:46 2022,9.156
Fri Dec 30 22:10:46 2022,9.15
Fri Dec 30 22:11:47 2022,9.15
Fri Dec 30 22:12:47 2022,9.191
Fri Dec 30 22:13:48 2022,9.189
Fri Dec 30 22:14:48 2022,9.19
Fri Dec 30 22:15:49 2022,9.171
Fri Dec 30 22:16:49 2022,9.13
Fri Dec 30 22:17:50 2022,9.122
Fri Dec 30 22:18:50 2022,9.137
Fri Dec 30 22:19:51 2022,9.136
Fri Dec 30 22:20:51 2022,9.134
Fri Dec 30 22:21:52 2022,9.135
Fri Dec 30 22:22:52 2022,9.134
Fri Dec 30 22:23:53 2022,9.098
Fri Dec 30 22:24:54 2022,9.074
Fri Dec 30 22:25:55 2022,9.071
Fri Dec 30 22:26:55 2022,9.092
Fri Dec 30 22:27:56 2022,9.09
Fri Dec 30 22:28:56 2022,9.106
Fri Dec 30 22:29:57 2022,9.107
Fri Dec 30 22:30:58 2022,9.088
Fri Dec 30 22:31:58 2022,9.088
Fri Dec 30 22:32:59 2022,9.101
Fri Dec 30 22:33:59 2022,9.078
Fri Dec 30 22:35:00 2022,9.081
Fri Dec 30 22:36:00 2022,9.098
Fri Dec 30 22:37:01 2022,9.091
Fri Dec 30 22:38:01 2022,9.108
Fri Dec 30 22:39:02 2022,9.122
Fri Dec 30 22:40:02 2022,9.1
Fri Dec 30 22:41:02 2022,9.114
Fri Dec 30 22:42:03 2022,9.123
Fri Dec 30 22:43:04 2022,9.125
Fri Dec 30 22:44:06 2022,9.146
Fri Dec 30 22:45:07 2022,9.147
Fri Dec 30 22:46:07 2022,9.145
Fri Dec 30 22:47:08 2022,9.137
Fri Dec 30 22:48:08 2022,9.129
Fri Dec 30 22:49:09 2022,9.122
Fri Dec 30 22:50:09 2022,9.123
Fri Dec 30 22:51:09 2022,9.13
Fri Dec 30 22:52:10 2022,9.13
Fri Dec 30 22:53:10 2022,9.151
Fri Dec 30 22:54:11 2022,9.155
Fri Dec 30 22:55:11 2022,9.152
Fri Dec 30 22:56:12 2022,9.15
Fri Dec 30 22:57:12 2022,9.151
Fri Dec 30 22:58:13 2022,9.151
Fri Dec 30 22:59:13 2022,9.152
Fri Dec 30 23:00:13 2022,9.166
Fri Dec 30 23:01:14 2022,9.227
Fri Dec 30 23:02:14 2022,9.194
Fri Dec 30 23:03:15 2022,9.197
Fri Dec 30 23:04:15 2022,9.2
Sat Dec 31 11:54:51 2022,9.218
Sat Dec 31 11:55:52 2022,9.214
Sat Dec 31 11:56:53 2022,9.214
Sat Dec 31 11:57:53 2022,9.218
Sat Dec 31 11:58:54 2022,9.214
Sat Dec 31 11:59:54 2022,9.21
Sat Dec 31 12:00:55 2022,9.216
Sat Dec 31 12:01:56 2022,9.216
Sat Dec 31 12:02:56 2022,9.216
Sat Dec 31 12:03:57 2022,9.219
Sat Dec 31 12:04:57 2022,9.227
Sat Dec 31 12:05:57 2022,9.23
Sat Dec 31 12:06:58 2022,9.236
Sat Dec 31 12:07:59 2022,9.236
Sat Dec 31 12:08:59 2022,9.246
Sat Dec 31 12:09:59 2022,9.248
Sat Dec 31 12:11:00 2022,9.251
Sat Dec 31 12:12:00 2022,9.248
Sat Dec 31 12:13:01 2022,9.244
Sat Dec 31 12:14:01 2022,9.244
Sat Dec 31 12:15:02 2022,9.24
Sat Dec 31 12:16:02 2022,9.254
Sat Dec 31 12:17:03 2022,9.28
Sat Dec 31 12:18:03 2022,9.28
Sat Dec 31 12:19:04 2022,9.288
Sat Dec 31 12:20:04 2022,9.289
Sat Dec 31 12:21:05 2022,9.289
Sat Dec 31 12:22:05 2022,9.28
Sat Dec 31 12:23:06 2022,9.271
Sat Dec 31 12:24:07 2022,9.266
Sat Dec 31 12:25:07 2022,9.261
Sat Dec 31 12:26:08 2022,9.257
Sat Dec 31 12:27:08 2022,9.257
Sat Dec 31 12:28:09 2022,9.261
Sat Dec 31 12:29:09 2022,9.262
Sat Dec 31 12:30:09 2022,9.262
Sat Dec 31 12:31:10 2022,9.261
Sat Dec 31 12:32:10 2022,9.261
Sat Dec 31 12:33:11 2022,9.261
Sat Dec 31 12:34:11 2022,9.255
Sat Dec 31 12:35:12 2022,9.244
Sat Dec 31 12:36:12 2022,9.232
Sat Dec 31 12:37:12 2022,9.218
Sat Dec 31 12:38:13 2022,9.221
Sat Dec 31 12:39:14 2022,9.22
Sat Dec 31 12:40:14 2022,9.217
Sat Dec 31 12:41:15 2022,9.217
Sat Dec 31 12:42:15 2022,9.224
Sat Dec 31 12:43:16 2022,9.221
Sat Dec 31 12:44:16 2022,9.221
Sat Dec 31 12:45:17 2022,9.221
Sat Dec 31 12:46:17 2022,9.217
Sat Dec 31 12:47:18 2022,9.217
Sat Dec 31 12:48:18 2022,9.224
Sat Dec 31 12:49:19 2022,9.226
Sat Dec 31 12:50:19 2022,9.226
Sat Dec 31 12:51:20 2022,9.226
Sat Dec 31 12:52:20 2022,9.226
Sat Dec 31 12:53:20 2022,9.235
Sat Dec 31 12:54:21 2022,9.244
Sat Dec 31 12:55:21 2022,9.236
Sat Dec 31 12:56:22 2022,9.244
Sat Dec 31 12:57:23 2022,9.25
Sat Dec 31 12:58:23 2022,9.25
Sat Dec 31 12:59:23 2022,9.248
Sat Dec 31 13:00:24 2022,9.248
Sat Dec 31 13:01:24 2022,9.248
Sat Dec 31 13:02:25 2022,9.245
